Date,Time,accel_x,accel_y,accel_z
9/3/2023,23:35:16,-1.838746905,3.543418407,9.126696587
9/3/2023,23:35:31,1.110909581,1.810016513,9.634267807
9/3/2023,23:35:47,8.829815865,0.833182216,4.663905144
9/3/2023,23:36:52,-0.852335811,-0.124498487,9.787496567
9/3/2023,23:37:44,-0.900219858,-0.095768064,9.835380554
9/3/2023,23:38:03,-0.871489406,-0.114921682,9.797073364
9/3/2023,23:39:03,-0.37349546,0.459686726,9.864110947
9/3/2023,23:42:34,-0.354341865,0.478840351,9.911994934
9/3/2023,23:44:58,-0.603338838,0.162805721,9.806650162
9/3/2023,23:46:16,-0.622492433,0.162805721,9.864110947
9/3/2023,23:49:46,-0.641646028,0.172382519,9.902418137
9/3/2023,23:55:28,-0.612915635,0.105344877,9.921571732
9/4/2023,0:00:44,-0.622492433,0.124498487,9.854534149
9/4/2023,0:05:07,-0.59376204,0.143652096,9.844957352
9/4/2023,0:05:38,-0.63206923,0.143652096,9.825803757
9/4/2023,0:08:13,-0.603338838,0.153228909,9.835380554
9/4/2023,0:11:26,-0.641646028,0.124498487,9.777919769
9/4/2023,0:11:42,0.392649084,7.240066051,6.579266071
9/4/2023,0:11:57,0.976834297,0.660799682,9.835380554
9/4/2023,0:12:12,-0.536301196,-0.038307227,9.864110947
9/4/2023,0:12:27,-0.536301196,0.047884032,9.883264542
9/4/2023,0:12:42,-0.59376204,-0.02873042,9.902418137
9/4/2023,0:13:49,-0.612915635,-0.009576807,9.892841339
9/4/2023,0:15:11,-0.584185243,0.038307227,9.864110947
9/4/2023,0:17:32,-0.63206923,0.019153614,9.844957352
9/4/2023,0:19:21,-0.622492433,0.047884032,9.864110947
9/4/2023,0:32:03,-0.603338838,0.057460841,9.844957352
9/4/2023,0:41:15,-0.545877993,-0.019153614,9.806650162
9/4/2023,0:51:36,-0.622492433,0.038307227,9.892841339
9/4/2023,0:54:23,-0.584185243,-0.057460841,9.806650162
9/4/2023,0:57:57,-0.545877993,0.057460841,9.854534149
9/4/2023,1:02:37,-0.536301196,0.02873042,9.816226959
9/4/2023,1:07:50,-0.651222885,0.019153614,9.844957352
9/4/2023,1:12:10,-0.584185243,0.019153614,9.854534149
9/4/2023,1:14:03,-0.555454791,0.019153614,9.902418137
9/4/2023,1:14:20,-0.545877993,-0.009576807,9.806650162
9/4/2023,1:14:35,-0.555454791,0.038307227,9.883264542
9/4/2023,1:14:50,-0.565031588,0.019153614,9.758766174
9/4/2023,1:15:05,-0.507570744,0,9.864110947
9/4/2023,1:15:20,-0.612915635,0,9.835380554
9/4/2023,1:15:35,-0.622492433,0.02873042,9.883264542
9/4/2023,1:15:50,-0.517147541,0.057460841,9.873687744
9/4/2023,1:16:05,-0.660799682,0.019153614,9.835380554
9/4/2023,1:16:20,-0.603338838,0.067037649,9.902418137
9/4/2023,1:16:35,-0.565031588,0,9.835380554
9/4/2023,1:16:50,-0.689530075,-0.009576807,9.787496567
9/4/2023,1:17:05,-0.565031588,0.019153614,9.940725327
9/4/2023,1:17:20,-0.565031588,0.057460841,9.854534149
9/4/2023,1:17:36,-0.517147541,0.047884032,9.835380554
9/4/2023,1:17:51,-0.622492433,0.02873042,9.825803757
9/4/2023,1:18:06,-0.555454791,0.067037649,9.844957352
9/4/2023,1:18:21,-0.612915635,0.009576807,9.854534149
9/4/2023,1:18:36,-0.584185243,0.076614454,9.873687744
9/4/2023,1:18:51,-0.545877993,0.019153614,9.902418137
9/4/2023,1:19:06,-0.622492433,0.02873042,9.883264542
9/4/2023,1:19:21,-0.660799682,0,9.825803757
9/4/2023,1:19:36,-0.59376204,0.067037649,9.825803757
9/4/2023,1:19:51,-0.565031588,0,9.835380554
9/4/2023,1:20:06,-0.603338838,0.02873042,9.797073364
9/4/2023,1:20:21,-0.660799682,-0.009576807,9.892841339
9/4/2023,1:20:36,-0.536301196,0,9.892841339
9/4/2023,1:20:51,-0.545877993,0.067037649,9.873687744
9/4/2023,1:21:06,0.239420176,0.584185243,9.854534149
9/4/2023,1:21:21,-0.574608386,0.019153614,9.825803757
9/4/2023,1:21:36,-0.545877993,-0.009576807,9.806650162
9/4/2023,1:21:51,-0.574608386,-0.009576807,9.892841339
9/4/2023,1:22:06,-0.526724398,-0.019153614,9.844957352
9/4/2023,1:22:21,-0.536301196,0.067037649,9.892841339
9/4/2023,1:22:36,-0.545877993,0.047884032,9.825803757
9/4/2023,1:23:21,0.29688102,-0.067037649,9.892841339
9/4/2023,1:23:36,0.33518824,-0.076614454,9.931148529
9/4/2023,1:23:52,0.392649084,-0.019153614,9.864110947
9/4/2023,1:24:07,0.363918662,-0.047884032,9.864110947
9/4/2023,1:24:22,0.29688102,-0.095768064,9.864110947
9/4/2023,1:24:37,4.23294878,2.767697096,8.954314232
9/4/2023,1:24:52,1.398213744,4.797980309,8.159439087
9/4/2023,1:25:07,1.532289028,4.989516258,8.743624687
9/4/2023,1:25:22,2.078166962,4.46279192,8.370129585
9/4/2023,1:25:37,1.675941229,5.506663799,8.025363922
9/4/2023,1:25:52,1.359906554,5.793968201,7.7284832
